#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 320841:7020 | 08/04/18 22:26:03 | 205  | 205  | 52.173829927   | 50.300960362  |
| 320853:7024 | 08/05/18 06:48:20 | 329  | 329  | 121.956040276  | 117.671430159 |
| 320854:7024 | 08/05/18 08:59:06 | 125  | 125  | 41.286415080   | 39.534858224  |
| 320855:7024 | 08/05/18 09:50:43 | 565  | 565  | 151.553416937  | 146.134790845 |
| 320856:7024 | 08/05/18 13:36:28 | 159  | 159  | 34.475355669   | 33.370803119  |
| 320857:7024 | 08/05/18 14:39:57 | 272  | 272  | 54.539519190   | 52.665884597  |
| 320858:7024 | 08/05/18 16:27:33 | 230  | 230  | 38.871824064   | 37.366592008  |
| 320859:7024 | 08/05/18 18:00:16 | 40   | 40   | 5.122366805    | 4.904109722   |
| 320887:7026 | 08/05/18 22:38:34 | 273  | 273  | 107.479475227  | 104.018498803 |
| 320888:7026 | 08/06/18 00:26:10 | 26   | 26   | 9.728341537    | 9.465241380   |
| 320916:7031 | 08/06/18 09:12:39 | 24   | 24   | 7.297504465    | 6.599767343   |
| 320917:7031 | 08/06/18 09:25:17 | 1926 | 1926 | 489.976152053  | 475.161464502 |
| 320920:7031 | 08/06/18 21:56:15 | 178  | 178  | 24.531674193   | 23.879440996  |
| 320933:7033 | 08/07/18 03:29:36 | 175  | 172  | 55.157500738   | 51.743621062  |
| 320934:7033 | 08/07/18 04:38:31 | 831  | 826  | 217.787924267  | 209.762471143 |
| 320936:7033 | 08/07/18 10:01:22 | 407  | 400  | 82.641564629   | 78.040225185  |
| 320941:7033 | 08/07/18 12:39:42 | 93   | 93   | 16.118374023   | 15.579491913  |
| 320980:7035 | 08/07/18 15:52:40 | 99   | 99   | 39.465469723   | 38.313921985  |
| 320995:7036 | 08/07/18 19:28:55 | 189  | 183  | 29.159338993   | 25.850397614  |
| 320996:7036 | 08/07/18 20:42:30 | 380  | 380  | 50.662005515   | 48.361404774  |
| 321004:7037 | 08/08/18 01:47:42 | 150  | 147  | 51.135031579   | 46.773267374  |
| 321005:7037 | 08/08/18 02:48:15 | 61   | 61   | 21.338677957   | 19.157143765  |
| 321006:7037 | 08/08/18 03:15:04 | 162  | 162  | 53.985579495   | 51.608086955  |
| 321007:7037 | 08/08/18 04:19:56 | 831  | 829  | 209.411568870  | 202.138132616 |
| 321009:7037 | 08/08/18 09:43:25 | 85   | 79   | 16.570174292   | 14.668973524  |
| 321010:7037 | 08/08/18 10:16:22 | 342  | 342  | 59.452206745   | 56.943830845  |
| 321011:7037 | 08/08/18 12:32:48 | 213  | 211  | 31.655707398   | 28.807752578  |
| 321012:7037 | 08/08/18 13:58:30 | 47   | 47   | 5.370093177    | 4.955357780   |
| 321051:7039 | 08/09/18 03:17:54 | 1122 | 1113 | 328.205724744  | 310.837412505 |
| 321055:7039 | 08/09/18 10:35:36 | 730  | 730  | 128.016340949  | 125.109080392 |
| 321067:7040 | 08/09/18 18:21:44 | 595  | 593  | 179.547415743  | 172.211124595 |
| 321068:7040 | 08/09/18 22:16:40 | 715  | 707  | 152.313458643  | 146.611493279 |
| 321069:7040 | 08/10/18 02:54:15 | 313  | 313  | 51.064540449   | 49.325957486  |
| 321119:7042 | 08/10/18 15:12:52 | 170  | 169  | 62.592681578   | 58.403297576  |
| 321121:7042 | 08/10/18 16:22:06 | 47   | 46   | 17.302506548   | 15.774613093  |
| 321122:7042 | 08/10/18 16:42:10 | 395  | 391  | 127.640109000  | 119.940993739 |
| 321124:7042 | 08/10/18 19:20:25 | 819  | 818  | 192.101196912  | 184.541286793 |
| 321126:7042 | 08/11/18 01:03:45 | 493  | 493  | 81.106797456   | 78.573921163  |
| 321134:7043 | 08/11/18 08:39:55 | 38   | 38   | 8.372488808    | 8.121791142   |
